Braveheart,1995," Mel Gibson, Sophie Marceau",Mel Gibson ,https://www.imdb.com/title/tt0112573/
Amadeus,1984," F. Murray Abraham, Tom Hulce",Milos Forman ,https://www.imdb.com/title/tt0086879/
Toy Story,1995," Tom Hanks, Tim Allen",John Lasseter ,https://www.imdb.com/title/tt0114709/
Coco,2017," Anthony Gonzalez, Gael García Bernal",Lee Unkrich ,https://www.imdb.com/title/tt2380307/
Das Boot,1981," Jürgen Prochnow, Herbert Grönemeyer",Wolfgang Petersen ,https://www.imdb.com/title/tt0082096/
Inglourious Basterds,2009," Brad Pitt, Diane Kruger",Quentin Tarantino ,https://www.imdb.com/title/tt0361748/
Mononoke-hime,1997," Yôji Matsuda, Yuriko Ishida",Hayao Miyazaki ,https://www.imdb.com/title/tt0119698/
Avengers: Endgame,2019," Robert Downey Jr., Chris Evans",Anthony Russo ,https://www.imdb.com/title/tt4154796/
Once Upon a Time in America,1984," Robert De Niro, James Woods",Sergio Leone ,https://www.imdb.com/title/tt0087843/
Good Will Hunting,1997," Robin Williams, Matt Damon",Gus Van Sant ,https://www.imdb.com/title/tt0119217/
Requiem for a Dream,2000," Ellen Burstyn, Jared Leto",Darren Aronofsky ,https://www.imdb.com/title/tt0180093/
Toy Story 3,2010," Tom Hanks, Tim Allen",Lee Unkrich ,https://www.imdb.com/title/tt0435761/
Kimi no na wa.,2016," Ryûnosuke Kamiki, Mone Kamishiraishi",Makoto Shinkai ,https://www.imdb.com/title/tt5311514/
Singin' in the Rain,1952," Gene Kelly, Donald O'Connor",Stanley Donen ,https://www.imdb.com/title/tt0045152/
3 Idiots,2009," Aamir Khan, Madhavan",Rajkumar Hirani ,https://www.imdb.com/title/tt1187043/
Star Wars: Episode VI - Return of the Jedi,1983," Mark Hamill, Harrison Ford",Richard Marquand ,https://www.imdb.com/title/tt0086190/
2001: A Space Odyssey,1968," Keir Dullea, Gary Lockwood",Stanley Kubrick ,https://www.imdb.com/title/tt0062622/
Reservoir Dogs,1992," Harvey Keitel, Tim Roth",Quentin Tarantino ,https://www.imdb.com/title/tt0105236/
Eternal Sunshine of the Spotless Mind,2004," Jim Carrey, Kate Winslet",Michel Gondry ,https://www.imdb.com/title/tt0338013/
Tengoku to jigoku,1963," Toshirô Mifune, Yutaka Sada",Akira Kurosawa ,https://www.imdb.com/title/tt0057565/
Capharnaüm,2018," Zain Al Rafeea, Yordanos Shiferaw",Nadine Labaki ,https://www.imdb.com/title/tt8267604/
Citizen Kane,1941," Orson Welles, Joseph Cotten",Orson Welles ,https://www.imdb.com/title/tt0033467/
Lawrence of Arabia,1962," Peter O'Toole, Alec Guinness",David Lean ,https://www.imdb.com/title/tt0056172/
Jagten,2012," Mads Mikkelsen, Thomas Bo Larsen",Thomas Vinterberg ,https://www.imdb.com/title/tt2106476/
North by Northwest,1959," Cary Grant, Eva Marie Saint",Alfred Hitchcock ,https://www.imdb.com/title/tt0053125/
M - Eine Stadt sucht einen Mörder,1931," Peter Lorre, Ellen Widmann",Fritz Lang ,https://www.imdb.com/title/tt0022100/
Vertigo,1958," James Stewart, Kim Novak",Alfred Hitchcock ,https://www.imdb.com/title/tt0052357/
Le fabuleux destin d'Amélie Poulain,2001," Audrey Tautou, Mathieu Kassovitz",Jean-Pierre Jeunet ,https://www.imdb.com/title/tt0211915/
A Clockwork Orange,1971," Malcolm McDowell, Patrick Magee",Stanley Kubrick ,https://www.imdb.com/title/tt0066921/
Idi i smotri,1985," Aleksey Kravchenko, Olga Mironova",Elem Klimov ,https://www.imdb.com/title/tt0091251/
Full Metal Jacket,1987," Matthew Modine, R. Lee Ermey",Stanley Kubrick ,https://www.imdb.com/title/tt0093058/
Double Indemnity,1944," Fred MacMurray, Barbara Stanwyck",Billy Wilder ,https://www.imdb.com/title/tt0036775/
The Apartment,1960," Jack Lemmon, Shirley MacLaine",Billy Wilder ,https://www.imdb.com/title/tt0053604/
Scarface,1983," Al Pacino, Michelle Pfeiffer",Brian De Palma ,https://www.imdb.com/title/tt0086250/
Ikiru,1952," Takashi Shimura, Nobuo Kaneko",Akira Kurosawa ,https://www.imdb.com/title/tt0044741/
The Sting,1973," Paul Newman, Robert Redford",George Roy Hill ,https://www.imdb.com/title/tt0070735/
To Kill a Mockingbird,1962," Gregory Peck, John Megna",Robert Mulligan ,https://www.imdb.com/title/tt0056592/
Taxi Driver,1976," Robert De Niro, Jodie Foster",Martin Scorsese ,https://www.imdb.com/title/tt0075314/
L.A. Confidential,1997," Kevin Spacey, Russell Crowe",Curtis Hanson ,https://www.imdb.com/title/tt0119488/
Up,2009," Edward Asner, Jordan Nagai",Pete Docter ,https://www.imdb.com/title/tt1049413/
Heat,1995," Al Pacino, Robert De Niro",Michael Mann ,https://www.imdb.com/title/tt0113277/
Hamilton,2020," Lin-Manuel Miranda, Phillipa Soo",Thomas Kail ,https://www.imdb.com/title/tt8503618/
Metropolis,1927," Brigitte Helm, Alfred Abel",Fritz Lang ,https://www.imdb.com/title/tt0017136/
Jodaeiye Nader az Simin,2011," Payman Maadi, Leila Hatami",Asghar Farhadi ,https://www.imdb.com/title/tt1832382/
Snatch,2000," Jason Statham, Brad Pitt",Guy Ritchie ,https://www.imdb.com/title/tt0208092/
Die Hard,1988," Bruce Willis, Alan Rickman",John McTiernan ,https://www.imdb.com/title/tt0095016/
Incendies,2010," Lubna Azabal, Mélissa Désormeaux-Poulin",Denis Villeneuve ,https://www.imdb.com/title/tt1255953/
Indiana Jones and the Last Crusade,1989," Harrison Ford, Sean Connery",Steven Spielberg ,https://www.imdb.com/title/tt0097576/
Ladri di biciclette,1948," Lamberto Maggiorani, Enzo Staiola",Vittorio De Sica ,https://www.imdb.com/title/tt0040522/
Spider-Man: No Way Home,2021," Tom Holland, Zendaya",Jon Watts ,https://www.imdb.com/title/tt10872600/
1917,2019," Dean-Charles Chapman, George MacKay",Sam Mendes ,https://www.imdb.com/title/tt8579674/
Taare Zameen Par,2007," Darsheel Safary, Aamir Khan",Aamir Khan ,https://www.imdb.com/title/tt0986264/
Der Untergang,2004," Bruno Ganz, Alexandra Maria Lara",Oliver Hirschbiegel ,https://www.imdb.com/title/tt0363163/
Per qualche dollaro in più,1965," Clint Eastwood, Lee Van Cleef",Sergio Leone ,https://www.imdb.com/title/tt0059578/
Batman Begins,2005," Christian Bale, Michael Caine",Christopher Nolan ,https://www.imdb.com/title/tt0372784/
Dangal,2016," Aamir Khan, Sakshi Tanwar",Nitesh Tiwari ,https://www.imdb.com/title/tt5074352/
The Kid,1921," Charles Chaplin, Edna Purviance",Charles Chaplin ,https://www.imdb.com/title/tt0012349/
Some Like It Hot,1959," Marilyn Monroe, Tony Curtis",Billy Wilder ,https://www.imdb.com/title/tt0053291/
Everything Everywhere All at Once,2022," Michelle Yeoh, Stephanie Hsu",Dan Kwan ,https://www.imdb.com/title/tt6710474/
The Father,2020," Anthony Hopkins, Olivia Colman",Florian Zeller ,https://www.imdb.com/title/tt10272386/
All About Eve,1950," Bette Davis, Anne Baxter",Joseph L. Mankiewicz ,https://www.imdb.com/title/tt0042192/
Green Book,2018," Viggo Mortensen, Mahershala Ali",Peter Farrelly ,https://www.imdb.com/title/tt6966692/
The Wolf of Wall Street,2013," Leonardo DiCaprio, Jonah Hill",Martin Scorsese ,https://www.imdb.com/title/tt0993846/
Judgment at Nuremberg,1961," Spencer Tracy, Burt Lancaster",Stanley Kramer ,https://www.imdb.com/title/tt0055031/
